manoeuvre	study	n	delta_PVP_mmHg	delta_PVF_pct	flow_source	source
Hemiportocaval shunt	Yamada 2008	10	-8.8	-65	Troisi 2005 Table 4	Table 4: PVP with shunt open (C) minus test-clamped (D), mean of 10 patients
Splenectomy	Osman 2017	5	-6.0			Text: PVP before/after splenectomy in 5 patients, median change
Splenectomy	Wang 2014	154	-4.8			Fig. 1: 23.9 to 19.1 mmHg
Intentional pressure control (mainly splenectomy)	Ogura 2010	77	-4.4			Results: mean reduction of portal pressure
Splenic artery ligation	Troisi 2003	13		-33	Troisi 2003 Table 4	Table 4: PVF/GW 360 to 240 mL/min/100 g
